product_id,product_name,manufacturer,price,number_available_in_stock,number_of_reviews,average_review_rating,product_information,product_description,customer_reviews,subcategory_1,subcategory_2,subcategory_3,subcategory_4,category,price_gbp
0a97c498d8f94b3de02e4ae1a37b1efd,MyTinyWorld Dolls House Miniature Childrens Mahogany High Chair,MyTinyWorld,4.50,,1.0,5.0,"Technical Details Item Weight9 g Product Dimensions5.5 x 5.4 x 9.5 cm Manufacturer recommended age:10 years and up Manufacturer referenceMTW3014 Scale1:12 Material Care InstructionsWood, Keep in a Dry Place    Additional Information ASINB00IOZGD1S Best Sellers Rank 508,286 in Toys & Games (See top 100) #2104 in Toys & Games > Dolls & Accessories > Dolls' House Dolls & Accessories > Dolls' House Accessories Shipping Weight9 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available27 Feb. 2014   ","Beautiful mahogany coloured wooden high chair with adjustable tray.Price is for 1 itemAdditional Product InformationMaterial Information: Wood; General mixed type bulk wood used to make furniture and accessories. Normally used in machine made miniatures. Look for products made from hard wood for the highest quality.MyTinyWorld was established in 2007 and founded on the philosophy of providing high quality miniatures at affordable prices. We carry a range of over 14,000 products, the vast majority of which we design and make inhouse to our exacting standards ensuring that every product you buy from us feels special.Please note this item is a Dolls House Miniature TOY / Collectors Item and is at least 12 times smaller than real life","Five Stars // 5.0 // 28 Jan. 2016 // By
    
    Roby
  
 on 28 Jan. 2016 // Great product!",Dolls' House Dolls & Accessories,Dolls' House Accessories,,,Dolls & Accessories,4.50
bc0205e406afabe8b72e708918415d7a,MyTinyWorld Dolls House Miniature Small Metal Milk Urn,MyTinyWorld,1.50,,1.0,5.0,"Technical Details Item Weight14 g Product Dimensions1.5 x 1.5 x 2.5 cm Manufacturer recommended age:10 years and up Manufacturer referenceMTW5532 Scale1:12 Material Care InstructionsMetal    Additional Information ASINB00HV37CX2 Best Sellers Rank 378,318 in Toys & Games (See top 100) #1476 in Toys & Games > Dolls & Accessories > Dolls' House Dolls & Accessories > Dolls' House Accessories Shipping Weight14 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available15 Jan. 2014   ","This is a super miniature milk urn, and could be ideal for scenes inside or out of your dolls house.This accessory is part of our affordable range of 1:12th and 1:24th scale dolls house miniature accessories, providing a quick and effective way of furnishing all of the rooms in your dolls house.Additional Product InformationAbout our Accessories: We are constantly adding new, high quality dolls house miniature accessories to our extensive range so that you have the best possible range to help you finish off your miniature scenes.Material Information: Metal; The main part of this product is made from metal, normally by machine, producing a durable and affordable product with a better finish than plastic items.MyTinyWorld was established in 2007 and founded on the philosophy of providing high quality miniatures at affordable prices. We carry a range of over 14,000 products, the vast majority of which we design and make inhouse to our exacting standards ensuring that every product you buy from us feels special.Please note this item is a Dolls House Miniature TOY / Collectors Item and is at least 12 times smaller than real life","Five Stars // 5.0 // 5 Feb. 2015 // By
    
    Soeli
  
 on 5 Feb. 2015 // Great item",Dolls' House Dolls & Accessories,Dolls' House Accessories,,,Dolls & Accessories,1.50
d89ed9d0f411de21b4ce89c9c6b4d9e5,New Dolls House Christmas Decoration Silver Xmas Tinsel,Farrow Industries,1.99,,2.0,5.0,"Technical Details Manufacturer recommended age:14 years and up    Additional Information ASINB0088LET4Q Best Sellers Rank 202,308 in Toys & Games (See top 100) #27 in Toys & Games > Dolls & Accessories > Dolls' House Dolls & Accessories > Decorations #703 in Toys & Games > Dolls & Accessories > Dolls' House Dolls & Accessories > Dolls' House Furniture Shipping Weight9 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available4 Jun. 2012    Feedback  Would you like to update product info or give feedback on images?",,"Five Stars // 5.0 // 20 Nov. 2015 // By
    
    christine king
  
 on 20 Nov. 2015 // Used on Christmas items | Tinsel // 5.0 // 13 Dec. 2013 // By
    
    maria
  
 on 13 Dec. 2013 // Long, sturdy and in excellent condition. This tinsel looks beautiful on my tiny tree. I would recommend this product in fold and silver",Dolls' House Dolls & Accessories,Dolls' House Furniture,,,Dolls & Accessories,1.99
3f834e995e73076dfa6f90b54149aee2,MyTinyWorld Dolls House Miniature Handmade Cup of Coffee / Tea - Aqua Ceramic,MyTinyWorld,2.00,,1.0,5.0,"Technical Details Item Weight5 g Manufacturer recommended age:10 years and up Manufacturer referenceMTW13321 Scale1:12 Material Care InstructionsHandmade Ceramic, Keep in a Dry Place    Additional Information ASINB00ISF181Y Best Sellers Rank 52,352 in Toys & Games (See top 100) #129 in Toys & Games > Dolls & Accessories > Dolls' House Dolls & Accessories > Dolls' House Accessories Shipping Weight5 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available5 Mar. 2014   ","This cup of coffee or tea is handmade from coloured resin and is served in a cup and saucer from our popular aqua marine ceramic range.This is one of those miniatures that just finishes off a kitchen scene or the table in the living room.Additional Product InformationAbout our Dolls House Food: All of our food items are handmade and are designed to be as realistic as possible, with each piece being finely detailed and produced individually ensuring no two items are exactly the same.This item is handmade: Each item is individually handmade and in many cases hand finished and painted. These are produced by craftsmen and women in UK and in our facilities abroad.Material Information: Handmade Ceramic; Clay is mixed and poured into individual plaster moulds by hand. Air dried, broken from the mould, fired and hand glazed and painted.MyTinyWorld was established in 2007 and founded on the philosophy of providing high quality miniatures at affordable prices. We carry a range of over 14,000 products, the vast majority of which we design and make inhouse to our exacting standards ensuring that every product you buy from us feels special.Please note this item is a Dolls House Miniature TOY / Collectors Item and is at least 12 times smaller than real life","very good // 5.0 // 5 Feb. 2015 // By
    
    Elizabeth Boast
  
 on 5 Feb. 2015 // Exactly as pictured and very good value for money.",Dolls' House Dolls & Accessories,Dolls' House Accessories,,,Dolls & Accessories,2.00
da681d1c2bd4eb573e3bbd82f32b9d7f,"The Dolls House Emporium Luxury Christmas Stockings, 4 Pcs",The Dolls House Emporium,8.89,2,1.0,5.0,"Technical Details Item Weight5 g Product Dimensions4.5 x 0.5 x 3.5 cm Manufacturer recommended age:14 - 18 years Manufacturer referenceDolls House Emporium-7264 Scale1:12    Additional Information ASINB009NFT9G4 Best Sellers Rank 783,149 in Toys & Games (See top 100) #204 in Toys & Games > Dolls & Accessories > Dolls' House Dolls & Accessories > Decorations #2705 in Toys & Games > Dolls & Accessories > Dolls' House Dolls & Accessories > Dolls' House Furniture Shipping Weight5 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available8 Oct. 2012    Feedback  Would you like to update product info or give feedback on images?","Set of four luxury velvet stockings, unique for each family member. Size: . Any accessories shown in the photo are not included.","Five Stars // 5.0 // 7 Nov. 2014 // By
    
    Dorothy
  
 on 7 Nov. 2014 // 10/10",Dolls' House Dolls & Accessories,Dolls' House Furniture,,,Dolls & Accessories,8.89
f6a8dfecb45f238a83124e3bb0ec8f13,CAT Construction Express Train,Caterpillar,28.91,11,3.0,5.0,"Technical Details Item Weight2.3 Kg Product Dimensions95 x 12 x 33 cm Manufacturer recommended age:5 years and up Item model number55650 Assembly RequiredNo Batteries Required?Yes Batteries Included?No Remote Control Included?No    Additional Information ASINB000284ZQA Best Sellers Rank 56,955 in Toys & Games (See top 100) Shipping Weight2.3 Kg Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available13 May 2013    Feedback  Would you like to update product info or give feedback on images?","This sturdy CAT Construction Express Train Set has all of the tools needed to get any big job done. Built from durable plastic, the motorised set comes complete with over 4 metres of train track, with the assorted curved and straight pieces allowing you to create multiple track layouts for hours of construction fun. The large scale train is highly detailed and comes complete with an on/off switch plus a functional LED warning light. In both forward or reverse mode, it chugs around the track pulling behind it a Crane Car, a Freight Car, a flat bed loaded with two CAT construction machines plus a Caboose bringing up the rear. The Crane rotates, lifts and lowers for realistic work site play, whilst the Hopper and the Dump Truck haul and dump the two boulders. Both of the construction machines can be removed from the train and used as stand alone toys for additional play time fun. Set includes: 4.2 metres (14 inches) of track, contemporary engine sculpt with working LED light, working crane and dump train cars with a caboose bringing up the rear! Battery requirement: C batteries (not included). Weight: 2.4kg. Manufacturers recommended age: 5+ Years.","Fantastic fun // 5.0 // 2 Jan. 2015 // By
    
    Kimi
  
 on 2 Jan. 2015 // I bought this for my 3 year old son for Christmas. My husband and I set it up in the dining room on Christmas eve night so he would see it when he came downstairs in the morning. We were very impressed with just how big the track and the train really are! Our son absolutely loves it, he loves that the digger and dumper truck are removable and fully working toys.Only criticism, the carriages are a little fiddly to get back on the track and a couple of pieces didn't quite perfectly fit together. Other than that, just w",Toy Trains & Accessories,Toy Trains & Sets,,,Die-Cast & Toy Vehicles,28.91
2d443a5eb7e20ee7fcbfd4b945cc286a,Brio BRI-33757 Lifting Bridge,Brio,17.99,31,29.0,4.6,"Technical Details Item Weight567 g Product Dimensions66 x 15.2 x 15.2 cm Manufacturer recommended age:36 months - 12 years Item model numberB33757 Educational Objective(s)Numeracy & Spacial Awareness Main Language(s)English Number of Puzzle Pieces3 Assembly RequiredNo Batteries Required?No Batteries Included?No Material Type(s)Wood Remote Control Included?No Colormulticoloured    Additional Information ASINB006IOCT0G Best Sellers Rank 3,576 in Toys & Games (See top 100) #6 in Toys & Games > Figures & Playsets > Transportation & Traffic #282 in Toys & Games > Sports Toys & Outdoor Shipping Weight721 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available12 Feb. 2012    Feedback  Would you like to update product info or give feedback on images?","Product Description Classic BRIO draw bridge has drop down railway barriers to hold up traffic while the bridge cranks up and trains pass underneath. Don't forget to raise the barriers once the bridge is back down again!BRIO created the first wooden railway in 1958. Since then they've built up the world's largest range of wooden railway items and many other educational and learning toys.BRIO's mission is to contribute to a child's development by offering good toys that stimulate the mind through play. Thanks to in-depth expertise, BRIO develops toys that always generate joy, while satisfying the child's needs in various phases of development. BRIO is a reliable ‘partner' for parents.BRIO pays attention to every detail through the design process and has always been dedicated to creating products that add extra play value, encourage learning and develop fine motor skills. Box Contains 1 x Lifting Bridge2 x Ascending Tracks","Pricey but probably worth the money // 4.0 // 21 July 2013 // By
    
    Woba
  
 on 21 July 2013 // I read the reviews of similar bridges by other brands and was concerned at the quality, so we splashed out our 3 year old's birthday money on this one. We as well as him have been very pleased with it - him because he likes bridges and it is a lovely addition to his railway set and he likes winding it up and down, and we because the quality is good (the rising track is supported at the top so it can safely be leant upon by little hands).  I have only marked it down a star based on price, but u",Toy Trains & Accessories,Toy Trains & Sets,,,Die-Cast & Toy Vehicles,17.99
868dcd71593506dea296f85917c61bdd,Thomas & Friends Take-n-Play Scrap Heap Monster Engine,Thomas & Friends,6.84,25,21.0,4.8,"Technical Details Item Weight91 g Product Dimensions18 x 5.3 x 14 cm Manufacturer recommended age:3 years and up Item model numberBCW96 Main Language(s)English manual, English original, English Assembly RequiredNo Batteries Required?No Batteries Included?No    Additional Information ASINB00HN9D4JA Best Sellers Rank 12,138 in Toys & Games (See top 100) Shipping Weight91 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available4 Jun. 2014    Feedback  Would you like to update product info or give feedback on images?",Product Description The Scrap Monster as seen in the Thomas & Friends DVD Tale of the Brave is a durable die-cast engine. Perfect for Take-n-Play Portable Fold-Out Playsets (sold separately and subject to availability)! Ages 3+ Box Contains Take-n-Play Scrap Heap Monster,"Quite large, something different, appears in Tales Of The brave // 5.0 // 10 Nov. 2014 // By
    
    Clem Neville
  
 on 10 Nov. 2014 // Large compared to most of the other Thomas take and play characters, quite a bit of plastic but still feels pretty durable. Makes only a brief couple of appearances in the latest Thomas movie Tales of The Brave, but potentially offers lots of play value being a bit different. | ... his birthday the take n play range are really good quality // 5.0 // 20 Jan. 2016 // By
    
    roo
  
 on 20 Jan. 2016 // Cant wait for my little boy to open this on his birthda",Toy Trains & Accessories,Toy Trains & Sets,,,Die-Cast & Toy Vehicles,6.84
7316561d535c5a88ceeefde30ef51f0f,Kidkraft Waterfall Mountain Train Table and Set,KidKraft,159.99,12,70.0,4.3,"Technical Details Item Weight24 Kg Product Dimensions124 x 87 x 41 cm Manufacturer recommended age:36 months - 8 years Item model number17850 Main Language(s)English translation, English Number of Puzzle Pieces121 Assembly RequiredYes Batteries Required?No Batteries Included?No Material CompositionMDF, T-molding and melamine Radio Control Suitabilityindoor Colormulticoloured    Additional Information ASINB000KEPCQI Best Sellers Rank 41,221 in Toys & Games (See top 100) #3512 in Toys & Games > Games Shipping Weight25 Kg Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available20 Aug. 2010    Feedback  Would you like to update product info or give feedback on images?","Learning while playing is fun with KidKraft’s new wooden Train Table with Three Bins and 120 Piece Mountain Train Set. KidKraft’s train table is kid-sized for hours of creative play. With a wide, generous play table, our train table has several unique features.","Great Product Except.... // 5.0 // 4 May 2013 // By
    
    Manny Rose
  
 on 4 May 2013 // My three children absolutely love this train table by Kidkraft. We generally lean towards their products due to durability and overall high standards. This table keeps my crew entertained throughout the day and is good to have indoors when the weather is not so great. We've owned the table for two weeks and though happy with the product, I am not impressed with the trains or the additional pieces. For one, the trains have all come apart (base and all) while my kids were in the midst of playing. The onl",Toy Trains & Accessories,Toy Trains & Sets,,,Die-Cast & Toy Vehicles,159.99
0f9e8f28b81a429cc9dfee0c0476ef5f,Thomas & Friends Trackmaster Water Tower Starter Set,Thomas & Friends,21.90,14,5.0,4.6,"Technical Details Item Weight476 g Product Dimensions33 x 5.1 x 24.1 cm Batteries:2 AAA batteries required. Manufacturer recommended age:3 years and up Item model numberBDP11 Main Language(s)English Assembly RequiredNo Batteries Required?No Batteries Included?No    Additional Information ASINB00IWPJWI6 Best Sellers Rank 38,202 in Toys & Games (See top 100) Shipping Weight476 g Delivery Destinations:Visit the Delivery Destinations Help page to see where this item can be delivered. Date First Available4 Jun. 2014    Feedback  Would you like to update product info or give feedback on images?","Product Description You can't have steam without water, and Thomas is ready for a refill! Water towers are an important part of the Island of Sodor, and the centrepiece of this exciting playset! As Thomas speeds to the tower, you can flip the switch on the stop-track and make him stop beneath, then lower the pipe over his boiler. Freshly replenished, Thomas can race along to his next adventure! Ages 3+. Requires 2 AAA batteries. Box Contains TrackMaster Water Tower Starter Set. Includes motorized Thomas engine","Good old Thomas! // 4.0 // 3 Dec. 2014 // By
    
    Roger
  
 on 3 Dec. 2014 // Beautifully built, does exactly what it says on the box. | ""Water"" success.. // 5.0 // 8 Oct. 2015 // By
    
    Paul Fowler
  
 on 8 Oct. 2015 // son loves it- nice addition to his layout | Four Stars // 4.0 // 3 Dec. 2015 // By
    
    jayne camm
  
 on 3 Dec. 2015 // Xmas gift so still in the box | Five Stars // 5.0 // 17 Jan. 2015 // By
    
    JAMES WILLIS
  
 on 17 Jan. 2015 // Great price. Good seller | Five Stars // 5.0 // 24 Jan. 2016 // By
    
    mrs j c schubeler
  
 on 24 Jan. 2016 // Grandson lo",Toy Trains & Accessories,Toy Trains & Sets,,,Die-Cast & Toy Vehicles,21.90
